Ride,Date/Time,Wait Time
Kali River Rapids,2020-01-01 09:35:05,5
Kali River Rapids,2020-01-01 09:40:05,5
Kali River Rapids,2020-01-01 09:45:08,15
Kali River Rapids,2020-01-01 09:50:04,15
Kali River Rapids,2020-01-01 09:55:05,15
Kali River Rapids,2020-01-01 10:00:09,15
Kali River Rapids,2020-01-01 10:05:06,15
Kali River Rapids,2020-01-01 10:15:04,25
Kali River Rapids,2020-01-01 10:20:05,25
Kali River Rapids,2020-01-01 10:25:07,10
Kali River Rapids,2020-01-01 10:30:05,25
Kali River Rapids,2020-01-01 10:35:06,20
Kali River Rapids,2020-01-01 10:40:10,25
Kali River Rapids,2020-01-01 10:45:04,15
Kali River Rapids,2020-01-01 10:50:05,10
Kali River Rapids,2020-01-01 10:55:05,10
Kali River Rapids,2020-01-01 11:00:08,10
Kali River Rapids,2020-01-01 11:05:08,10
Kali River Rapids,2020-01-01 11:10:05,10
Kali River Rapids,2020-01-01 11:15:08,10
Kali River Rapids,2020-01-01 11:20:05,10
Kali River Rapids,2020-01-01 11:25:06,10
Kali River Rapids,2020-01-01 11:30:06,10
Kali River Rapids,2020-01-01 11:35:07,10
Kali River Rapids,2020-01-01 11:40:05,10
Kali River Rapids,2020-01-01 11:45:05,10
Kali River Rapids,2020-01-01 11:50:07,10
Kali River Rapids,2020-01-01 11:55:04,20
Kali River Rapids,2020-01-01 12:00:08,20
Kali River Rapids,2020-01-01 12:05:07,20
Kali River Rapids,2020-01-01 12:10:06,20
Kali River Rapids,2020-01-01 12:15:05,10
Kali River Rapids,2020-01-01 12:20:05,10
Kali River Rapids,2020-01-01 12:25:05,10
Kali River Rapids,2020-01-01 12:30:07,10
Kali River Rapids,2020-01-01 12:35:04,10
Kali River Rapids,2020-01-01 12:40:06,10
Kali River Rapids,2020-01-01 12:45:06,10
Kali River Rapids,2020-01-01 12:50:05,10
Kali River Rapids,2020-01-01 12:55:05,30
Kali River Rapids,2020-01-01 13:00:09,25
Kali River Rapids,2020-01-01 13:05:11,30
Kali River Rapids,2020-01-01 13:10:05,30
Kali River Rapids,2020-01-01 13:15:05,35
