data_e_hora,tempo_de_fila,apagar
2017-05-27 15:38:12,195.0,0
2017-05-27 15:45:13,195.0,0
2017-05-27 15:52:49,195.0,0
2017-05-27 15:59:08,195.0,0
2017-05-27 16:03:20,195.0,0
2017-05-27 16:10:10,195.0,0
2017-05-27 16:17:04,195.0,0
2017-05-27 16:24:07,195.0,0
2017-05-27 16:30:11,195.0,0
2017-05-27 16:45:18,195.0,0
2017-05-27 16:52:06,195.0,0
2017-05-27 16:59:09,195.0,0
2017-05-27 17:03:09,195.0,0
2017-05-27 17:10:11,195.0,0
2017-05-27 17:17:21,195.0,0
2017-05-27 17:24:05,195.0,0
2017-05-27 17:30:13,195.0,0
2017-05-27 17:45:12,195.0,0
2017-05-27 17:52:08,195.0,0
2017-05-27 17:59:13,160.0,0
2017-05-27 18:03:10,160.0,0
2017-05-27 18:10:11,160.0,0
2017-05-27 18:17:55,160.0,0
2017-05-27 18:24:04,160.0,0
2017-05-27 18:30:09,160.0,0
2017-05-27 18:38:07,160.0,0
2017-05-27 18:45:09,160.0,0
2017-05-27 18:52:06,180.0,0
2017-05-27 19:03:30,180.0,0
2017-05-27 19:10:11,180.0,0
2017-05-27 19:17:07,180.0,0
2017-05-27 19:24:07,180.0,0
2017-05-27 19:30:41,180.0,0
2017-05-27 19:38:07,180.0,0
2017-05-27 19:45:20,180.0,0
2017-05-27 19:52:10,180.0,0
2017-05-27 19:59:51,180.0,0
2017-05-27 20:10:10,180.0,0
2017-05-27 20:24:11,180.0,0
2017-05-27 20:30:29,180.0,0
2017-05-27 20:38:06,180.0,0
2017-05-27 20:45:06,180.0,0
2017-05-27 20:52:07,-999.0,0
2017-05-27 20:59:07,-999.0,0
2017-05-27 21:03:04,-999.0,0
2017-05-27 21:10:14,-999.0,0
2017-05-27 21:17:06,-999.0,0
2017-05-27 21:24:08,-999.0,0
2017-05-27 21:30:10,-999.0,0
2017-05-27 21:38:08,-999.0,0
2017-05-27 21:45:10,-999.0,0
2017-05-27 21:59:11,-999.0,0
2017-05-27 22:03:10,-999.0,0
2017-05-27 22:10:11,-999.0,0
2017-05-27 22:17:32,-999.0,0
2017-05-27 22:24:13,-999.0,0
2017-05-27 22:30:14,-999.0,0
2017-05-27 22:38:04,-999.0,0
2017-05-27 22:45:21,-999.0,0
2017-05-27 22:52:49,-999.0,0
2017-05-27 22:59:08,180.0,0
2017-05-27 23:03:06,90.0,0
2017-05-27 23:10:11,90.0,0
2017-05-27 23:17:05,90.0,0
2017-05-27 23:24:05,90.0,0
2017-05-27 23:30:41,90.0,0
2017-05-27 23:35:11,-999.0,0
2017-05-27 23:38:05,90.0,0
2017-05-27 23:45:10,90.0,0
2017-05-27 23:52:06,90.0,0
2017-05-27 23:59:09,90.0,0
2017-05-28 07:30:13,5.0,0
2017-05-28 07:38:05,5.0,0
2017-05-28 07:52:07,90.0,0
2017-05-28 07:59:07,90.0,0
2017-05-28 08:03:07,90.0,0
2017-05-28 08:10:10,150.0,0
2017-05-28 08:17:17,180.0,0
2017-05-28 08:24:06,195.0,0
2017-05-28 08:31:00,250.0,0
2017-05-28 08:38:08,250.0,0
2017-05-28 08:52:06,250.0,0
2017-05-28 08:59:10,250.0,0
2017-05-28 09:03:05,250.0,0
2017-05-28 09:10:11,250.0,0
2017-05-28 09:17:05,250.0,0
2017-05-28 09:24:05,250.0,0
2017-05-28 09:30:12,250.0,0
2017-05-28 09:38:17,250.0,0
2017-05-28 09:45:12,250.0,0
2017-05-28 09:52:04,250.0,0
2017-05-28 09:59:11,250.0,0
2017-05-28 10:03:07,250.0,0
