data_e_hora,tempo_de_fila,apagar
2018-06-30 23:16:07,-999.0,0
2018-06-30 23:23:06,-999.0,0
2018-06-30 23:29:06,-999.0,0
2018-06-30 23:37:06,-999.0,0
2018-06-30 23:44:07,-999.0,0
2018-07-01 06:16:08,-999.0,0
2018-07-01 06:23:07,-999.0,0
2018-07-01 06:29:07,-999.0,0
2018-07-01 06:37:07,-999.0,0
2018-07-01 06:44:06,5.0,0
2018-07-01 06:51:06,5.0,0
2018-07-01 06:58:06,90.0,0
2018-07-01 07:02:06,90.0,0
2018-07-01 07:09:06,105.0,0
2018-07-01 07:16:06,180.0,0
2018-07-01 07:23:07,180.0,0
2018-07-01 07:29:06,200.0,0
2018-07-01 07:37:06,200.0,0
2018-07-01 07:39:28,200.0,0
2018-07-01 07:44:07,200.0,0
2018-07-01 07:51:07,225.0,0
2018-07-01 07:51:39,225.0,0
2018-07-01 07:57:25,245.0,0
2018-07-01 07:58:08,245.0,0
2018-07-01 08:02:08,245.0,0
2018-07-01 08:09:06,265.0,0
2018-07-01 08:16:07,265.0,0
2018-07-01 08:23:08,265.0,0
2018-07-01 08:29:06,265.0,0
2018-07-01 08:37:06,265.0,0
2018-07-01 08:44:07,275.0,0
2018-07-01 08:51:06,275.0,0
2018-07-01 08:58:06,275.0,0
2018-07-01 09:02:07,275.0,0
2018-07-01 09:09:06,275.0,0
2018-07-01 09:16:07,275.0,0
2018-07-01 09:23:07,295.0,0
2018-07-01 09:29:06,200.0,0
2018-07-01 09:37:08,200.0,0
2018-07-01 09:44:06,150.0,0
2018-07-01 09:45:11,150.0,0
2018-07-01 09:51:06,150.0,0
2018-07-01 09:58:07,150.0,0
2018-07-01 10:02:07,150.0,0
2018-07-01 10:09:06,150.0,0
2018-07-01 10:16:07,120.0,0
2018-07-01 10:23:06,120.0,0
2018-07-01 10:29:06,120.0,0
2018-07-01 10:37:06,100.0,0
2018-07-01 10:44:06,100.0,0
2018-07-01 10:51:07,100.0,0
2018-07-01 10:58:06,100.0,0
2018-07-01 11:02:07,100.0,0
2018-07-01 11:09:07,160.0,0
2018-07-01 11:16:07,160.0,0
2018-07-01 11:23:07,160.0,0
2018-07-01 11:25:41,100.0,0
2018-07-01 11:29:06,130.0,0
2018-07-01 11:37:07,130.0,0
2018-07-01 11:44:07,110.0,0
2018-07-01 11:51:08,100.0,0
2018-07-01 11:58:09,90.0,0
2018-07-01 12:02:08,90.0,0
2018-07-01 12:09:07,80.0,0
2018-07-01 12:16:08,90.0,0
2018-07-01 12:23:06,90.0,0
2018-07-01 12:29:07,120.0,0
