Ride,Date/Time,Wait Time
The Twilight Zone Tower of Terror,2019-07-01 09:00:05,25
The Twilight Zone Tower of Terror,2019-07-01 09:05:03,45
The Twilight Zone Tower of Terror,2019-07-01 09:10:04,90
The Twilight Zone Tower of Terror,2019-07-01 09:15:03,95
The Twilight Zone Tower of Terror,2019-07-01 09:20:03,85
The Twilight Zone Tower of Terror,2019-07-01 09:25:04,95
The Twilight Zone Tower of Terror,2019-07-01 09:30:04,105
The Twilight Zone Tower of Terror,2019-07-01 09:35:04,120
The Twilight Zone Tower of Terror,2019-07-01 09:40:04,105
The Twilight Zone Tower of Terror,2019-07-01 09:45:04,120
The Twilight Zone Tower of Terror,2019-07-01 09:50:03,120
The Twilight Zone Tower of Terror,2019-07-01 09:55:04,115
The Twilight Zone Tower of Terror,2019-07-01 10:00:04,105
The Twilight Zone Tower of Terror,2019-07-01 10:05:03,105
The Twilight Zone Tower of Terror,2019-07-01 10:10:04,105
The Twilight Zone Tower of Terror,2019-07-01 10:15:04,105
The Twilight Zone Tower of Terror,2019-07-01 10:20:04,115
The Twilight Zone Tower of Terror,2019-07-01 10:25:04,125
The Twilight Zone Tower of Terror,2019-07-01 10:30:04,120
The Twilight Zone Tower of Terror,2019-07-01 10:35:04,120
The Twilight Zone Tower of Terror,2019-07-01 10:40:04,110
The Twilight Zone Tower of Terror,2019-07-01 10:45:03,110
The Twilight Zone Tower of Terror,2019-07-01 10:50:06,110
The Twilight Zone Tower of Terror,2019-07-01 10:55:04,105
The Twilight Zone Tower of Terror,2019-07-01 11:00:04,105
The Twilight Zone Tower of Terror,2019-07-01 11:05:03,105
The Twilight Zone Tower of Terror,2019-07-01 11:10:04,95
The Twilight Zone Tower of Terror,2019-07-01 11:15:04,105
The Twilight Zone Tower of Terror,2019-07-01 11:20:04,110
The Twilight Zone Tower of Terror,2019-07-01 11:25:04,120
The Twilight Zone Tower of Terror,2019-07-01 11:30:05,120
The Twilight Zone Tower of Terror,2019-07-01 11:35:04,120
The Twilight Zone Tower of Terror,2019-07-01 11:40:04,120
The Twilight Zone Tower of Terror,2019-07-01 11:45:04,120
The Twilight Zone Tower of Terror,2019-07-01 11:50:04,120
The Twilight Zone Tower of Terror,2019-07-01 11:55:05,120
The Twilight Zone Tower of Terror,2019-07-01 12:00:06,120
The Twilight Zone Tower of Terror,2019-07-01 12:05:04,120
The Twilight Zone Tower of Terror,2019-07-01 12:10:04,105
The Twilight Zone Tower of Terror,2019-07-01 12:15:05,105
The Twilight Zone Tower of Terror,2019-07-01 12:20:04,105
The Twilight Zone Tower of Terror,2019-07-01 12:25:04,105
The Twilight Zone Tower of Terror,2019-07-01 12:30:05,105
The Twilight Zone Tower of Terror,2019-07-01 12:35:04,105
The Twilight Zone Tower of Terror,2019-07-01 12:40:04,105
The Twilight Zone Tower of Terror,2019-07-01 12:45:04,105
The Twilight Zone Tower of Terror,2019-07-01 12:50:04,105
The Twilight Zone Tower of Terror,2019-07-01 12:55:03,105
The Twilight Zone Tower of Terror,2019-07-01 13:00:05,105
The Twilight Zone Tower of Terror,2019-07-01 13:05:04,105
The Twilight Zone Tower of Terror,2019-07-01 13:10:04,115
The Twilight Zone Tower of Terror,2019-07-01 13:15:06,115
The Twilight Zone Tower of Terror,2019-07-01 13:20:04,115
The Twilight Zone Tower of Terror,2019-07-01 13:25:04,120
The Twilight Zone Tower of Terror,2019-07-01 13:30:05,120
The Twilight Zone Tower of Terror,2019-07-01 13:35:04,120
The Twilight Zone Tower of Terror,2019-07-01 13:40:04,120
